unique_id,Agency Name,Site Name,Service Name,Service Name (2),Address,Site City,Site Postal Code,Application,Crisis_Phone,Description (Service),Eligibility,E_Mail,Hours,Languages,Office_Phone,Primary_Contact,Primary_Contact_Email,Toll_Free_Phone,Website,Taxonomy,Fees,Funding,DD Code,Physical Access,Category,FSA
969,Salvation Army,Railside Distribution Centre,Transitional Employment Program,,"150 Railside Rd Toronto, ON M3A 1A3",Toronto,M3A 1A3,Call for appointment,,"Vocational rehabilitation program including work skills, training and support * various competitive job opportunities and work experience * reintegration support and follow up",Individuals 16-65 years living with a mental health illness and demonstrated appropriate work skills,,Mon-Fri 8 am-4 pm,English ; Chinese (Cantonese) ; Chinese (Mandarin),416-693-2116,"Philip Chan, TEP Supervisor; Phone: 416-693-2116 ext 212",,,web.salvationarmy.org/can/www_can_plus.nsf,Supported Employment ~ Mental Illness/Emotional Disabilities ; Vocational Rehabilitation ~ Mental Illness/Emotional Disabilities,None,,Disabilities (Developmental),Wheelchair accessible main entrance ; Barrier free washrooms ; Parking close to entrance,Health Services,M3A 
970,Trauma Services Program,Aisling Discoveries Child and Family Centre,Trauma Services Program,,"Aisling Discoveries Child and Family Centre 325 Milner Ave, Suite 110 Toronto, ON M1B 5N1",Toronto,M1B 5N1,Referral by child's legal caregiver,,Service coordination for sexual abuse referrals * individual and family treatment * trauma assessments * clinical consultations * community educational workshops/presentations,Children birth-11 years who have experienced sexual abuse or who display sexualized behaviours,gliu@aislingdiscoveries.on.ca,"Mon-Thu 9 am-7 pm, Fri 9 am-4 pm",English ; Interpreters available for other languages,416-321-5464 ext 255,"Vishala Maraj, Coordinator",,,www.aislingdiscoveries.on.ca,Case/Care Management ~ Sexually Abused Children ; Child Sexual Abuse Counselling ; Child Sexual Assault Prevention ; Condition Specific Treatment ~ Sexually Abused Children,None,,Counselling (Family),Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Barrier-free washroom including door and stall,Health Services,M1B 
971,Scarborough Health Network,General Hospital,General Hospital,,"3050 Lawrence Ave E Toronto, ON M1P 2V5",Toronto,M1P 2V5,Not applicable,,"Acute care hospital * geriatric care * maternal and newborn care * pediatrics Geriatric Assessment and Intervention Network (GAIN) Clinic -- for frail seniors Rapid Access Addiction Medicine (RAAM) Clinic -- barrier-free access to medical treatment and same-day counselling for alcohol, opioid, or other drug-related addictions * no appointment or referral required",Open to all,,"Mon-Sun 24 hours * Rapid Access Addiction Medicine (RAAM) Clinic -- Tue, Thu, Fri 9 am-11 am",English ; Interpretive services,416-438-2911 * RAAM Clinic 416-431-8269,,,,www.shn.ca,General Acute Care Hospitals ; Geriatric Assessment ; Geriatric Medicine ; Geriatric Psychiatry ; Neonatal Care ; Pediatrics ; Postpartum Care ; Rapid Access Addiction Medicine Clinics ; Substance Use Disorder Counselling,Unknown,,Hospitals,Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Health Services,M1P 
972,Scarborough Women's Centre,Scarborough Women's Centre,Scarborough Women's Centre,,"2100 Ellesmere Rd, Suite 245 Toronto, ON M1H 3B7",Toronto,M1H 3B7,Self referral,,"Information and referral * counselling services for women dealing with, leaving or recovering from abuse * educational courses and workshops on topics such as healthy relationships, anger, self-esteem, family law, life skills, leadership development * trained volunteer mentors and tutors * outreach Building Strong Futures (BSF) -- young women’s outreach program for youth 13-19 years, at schools and community organizations in Scarborough * workshops, leadership development * addresses issues such as sexual harassment, career planning and mental health * Sisters Assisting Sisters of Scarborough (SASS) -- young women's mentoring program matches youth 15-19 years with trained volunteer mentors 20-31 years * support, guidance and discussions on issues including relationships, staying in school, and life goals","Ages: 15 year(s) and up Women 15 years and older, including newcomers, who are moving away from abuse, poverty and isolation * special programming off-site for women 15-19 years * outreach to women with disabilities and young women * counselling for women 19 years and older, and educational workshops for women 19 years and older",ed@scarboroughwomenscentre.ca,"Office -- Mon-Thu 9 am-5 pm, Fri 9 am-4 pm * workshops -- evenings and Saturdays","English ; Interpretive Services - MCIS Interpretation service available for clients in counselling, dealing with abuse ; Volunteers and staff speak a variety of languages",416-439-7111,,,,www.scarboroughwomenscentre.ca,Adult Mentoring Programs ~ Women ; General Counselling Services ~ Women ; Life Skills Education ~ Women ; Outreach Programs ~ People With Disabilities ~ Women ; Outreach Programs ~ Young Adults ~ Women ; Specialized Information and Referral ~ Women ; Spouse/Intimate Partner Abuse Counselling ~ Abused Women ; Women's Centres,None,Regional / Municipal - Community Service Partnerships (CSP) ; United Way - United Way Greater Toronto,Counselling (General),Wheelchair accessible automatic main entrance ; Barrier-free washroom including automatic door,Health Services,M1H 
973,Griffin Centre,What's Up Walk-in Clinic,What's Up Walk-in Clinic,,"1126 Finch Ave W, Unit 16 Toronto, ON M3J 3J6",Toronto,M3J 3J6,"Drop in, call, email or visit website * no appointment required",,"Child and youth mental health counselling service * immediate, barrier-free, single session counselling services on issues of concern, such as school problems, violence, grief and death, family conflict, separation and divorce, alcohol and drug use, anxiety and depression, eating disorders, sexuality, and suicidal and self-harming behaviours * also support for parents or caregivers worried about their baby's or young child's development, behaviour or routines","Ages: 29 year(s) and under Children, youth and young adults up to 29 years, and their families and caregivers",walk-in@griffincentre.org,"Mon, Wed 1:30 pm-7 pm (last session 6 pm); Tue, Fri 9:30 am-2 pm (last session 1 pm); Thu 2 pm-7 pm (last session 6 pm)",English ; Interpretation arranged for other languages,416-222-4380,,,,www.griffincentre.org,Adolescent/Youth Counselling ; Child Guidance ; Human Trafficking Counselling ~ Youth ; Parent Counselling,None ; Ontario Health Insurance not required,,Mental Health,Wheelchair accessible - call for details,Health Services,M3J 
974,Islington Medical Centre and Travel Clinic,Islington Medical Centre and Travel Clinic,Islington Medical Centre and Travel Clinic,,"4 Burnhamthorpe Rd Toronto, ON M9A 5C9",Toronto,M9A 5C9,Appointment required for travel clinic * no referral required,,Walk-in medical clinic * travel clinic,Persons who need medical care for minor illnesses and injuries,,"Walk-in clinic -- Mon-Wed, Fri 9 am-12 noon, 3 pm-5 pm ; Thu 9 am-2 pm ; Sat 10 am-1 pm",English,416-234-1987,,,,www.mytravelclinic.com,General Medical Care ; Travel Medicine ; Walk In Medical Clinics,Most services covered by OHIP,,Health (Walk In Clinics),Wheelchair accessible building including main entrance and barrier free washrooms,Health Services,M9A 
975,Aphasia Institute,Aphasia Institute,Aphasia Institute,,"73 Scarsdale Rd Toronto, ON M3B 2R2",Toronto,M3B 2R2,Self-referral or referral from a speech language pathologist or health professional,,Volunteer led communication program * stresses communication and conversation within small groups * Toastmaster's Gavel Club * recreation programs * drop-in * caregiver support * support groups for families and friends * professional and pictographic resources * music therapy * professional training * volunteer opportunities,Persons 18 years and older with a primary diagnosis of aphasia resulting from a stroke or other head injury,aphasia@aphasia.ca,Mon-Fri 8:30 am-4 pm,English,416-226-3636,"Allison Tedesco, Manager, Client Services",,,www.aphasia.ca,Caregiver Consultation and Support ~ Communication Impairments ; Communication Training ~ Communication Impairments ; Disability Associations ~ Communication Impairments ; General Recreational Activities/Sports ~ Communication Impairments ; Health/Disability Related Support Groups ~ Communication Impairments ; Music Therapy ~ Communication Impairments ; Professional Skills Development Support ~ Communication Impairments ; Public Speaking ~ Communication Impairments ; Special Libraries ~ Communication Impairments ; Volunteer Opportunities,Vary,Regional / Municipal - Community Service Partnerships (CSP),Health (Specific Conditions),Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Dedicated accessible washroom with all features,Health Services,M3B 
976,Reconnect Community Health Services,Community Services,Community Services,,"2562 Eglinton Ave W, 2nd Fl, Suite 202 Toronto, ON M6M 1T4",Toronto,M6M 1T4,Call Intake at 416-787-2114 ext 214,,"Adult Day Services -- adult and Alzheimer day programs * Monday-Sunday * centre-based recreational, motivational and therapeutic activities for adults with physical or cognitive impairments * all meals and some transportation provided * occasional 24 hour care for current clients * fee based on service level * Alzheimer Society of Toronto satellite office on site Eglinton Hill Centre -- drop in for independent older adults * Monday-Saturday 10 am-4 pm * social and recreational programs, health-promotion workshops, clinics * computer courses * English as a Second Language (ESL) classes * multicultural and intergenerational activities * programs in English, Portuguese and Spanish * annual membership $40 Home and Client Support Services -- case management including crisis intervention, information and referral -- free * transportation, grocery shopping, home help, respite care, meals on wheels Monday-Saturday (Italian meals, frozen meals, fruit and vegetable baskets available), personal care -- fee * participates in Toronto Ride Community Support Services -- congregate dining, Muslim and Caribbean social dining * recreational activities, outings, workshops * income tax clinic * program locations vary * fees for some programs Exercise and Therapeutic Falls Prevention -- offered at 14 locations within service area * free * call for locations Assisted Living Services -- on-site personal care and support services in designated buildings * free for eligible tenants",Seniors 55 years and older * adults with physical or cognitive impairments * adults who are convalescing,contact@reconnect.on.ca,"Mon-Fri 8 am-8 pm, Sat-Sun 9 am-5 pm",English ; Hindi ; Portuguese ; Punjabi ; Sindhi ; Spanish ; Urdu ; Vietnamese ; Additional languages are available with prior arrangement,416-248-2050,"Tyler Murphy, Intake Department; Phone: 416-787-2114 ext 8038",,,www.reconnect.on.ca,Adult Day Programs ; Adult Day Programs ~ Dementia ; Attendant Services for People With Disabilities ; Case/Care Management ~ Older Adults ; Case/Care Management ~ People With Disabilities ; Computer and Related Technology Classes ~ Older Adults ; Disability Related Transportation ; English as a Second Language ~ Older Adults ; Errand Running/Shopping Assistance ; Fall Prevention Programs ; General Recreational Activities/Sports ~ Older Adults ; Home Delivered Meals ; Homemaker Assistance ; Intergenerational Programs ; Personal Care ; Senior Centres ; Senior Meals ; Senior Ride Programs ; Social Clubs/Events ~ Older Adults ; Tax Preparation Assistance ; Therapeutic Exercise ; Wellness Programs ~ Older Adults,Modest fees for some services,United Way - United Way Greater Toronto,Mental Health,Wheelchair accessible automatic main entrance ; Elevator with braille and voice/tone features ; Dedicated accessible washroom with all features ; Wheelchair accessible bus and vehicles,Health Services,M6M 
977,Griffin Centre,Griffin Centre,Doorways,,"1124 Finch Ave W, Unit 1 Toronto, ON M3J 2E2",Toronto,M3J 2E2,"Call, email or visit website for information * intake assessment required * self referral or referral by family member, service provider, hospital, or community agency",,"Mental health and substance use services for transitional age youth including complex care coordination and intensive case management, individual and family counselling, group support and activities, educational workshops, outreach and community capacity building * access to other Griffin Centre services In partnership with LOFT Community Services -- see separate entry","Youth and young adults 15-25 years with addiction or addiction and mental health challenges, living in Jane/Finch and surrounding northwest Toronto community, and their families",contact@griffincentre.org,"Mon-Thu 9 am-8 pm, Fri 9 am-5 pm",English ; Twi ; Interpretation available for other languages,416-222-1153,,,,www.griffincentre.org,General Mental Health Information/Education ~ Substance Use Disorder Issues ~ Youth Issues ; Outreach Programs ~ Substance Use Disorder Issues ~ Youth Issues ; Psychiatric Case Management ~ Adolescents ~ Concurrent Disorder ; Psychiatric Case Management ~ Adolescents ~ Substance Use Disorders ; Psychiatric Case Management ~ Young Adults ~ Concurrent Disorder ; Psychiatric Case Management ~ Young Adults ~ Substance Use Disorders ; Substance Use Disorder Counselling ~ Adolescents ; Substance Use Disorder Counselling ~ Young Adults,None,,Mental Health,Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Designated parking close to entrance,Health Services,M3J 
978,Sunnybrook Health Sciences Centre,St John's Rehab,St John's Rehab,,"285 Cummer Ave Toronto, ON M2M 2G1",Toronto,M2M 2G1,Physician referral for most programs,,"Inpatient and outpatient rehabilitation for amputations, burns, cardiac, musculoskeletal conditions, oncology, organ transplants, stroke and neurological conditions, traumatic injuries Outpatient Programs Arthritis Aquatic Program * Back on Track -- for clients who have been involved in traumatic motor vehicle and work-related accidents * electrical injury program * falls prevention * Community Wellness Clinics -- acupuncture * chiropody * chiropractic * massage therapy",Adults recovering from life-changing illness or injury,,Visiting hours -- Mon-Sun 8:30 am-8:30 pm,English ; interpreters for many other languages,416-226-6780,,,,www.sunnybrook.ca/stjohnsrehab,Acupuncture ; Chiropractic ; Condition Specific Rehabilitation Services ~ Electric Shocks/Lightning Strikes ; Condition Specific Rehabilitation Services ~ Traffic Accident Victims ; Condition Specific Rehabilitation Services ~ Workplace Accident Victims ; Fall Prevention Programs ; Massage Therapy ; Physical Medicine and Rehabilitation ; Podiatry/Foot Care ; Therapeutic Exercise ~ Arthritis,Fees for some outpatient programs and for Community Wellness Clinics,,Hospitals,Wheelchair accessible building including the hospital's 3 entrances and barrier free washrooms * designated parking,Health Services,M2M 
979,St Joseph's Health Centre,St Joseph's Health Centre,St Joseph's Health Centre,,"30 The Queensway Toronto, ON M6R 1B5",Toronto,M6R 1B5,Not applicable,,"Acute care hospital * ambulatory care centre * psychiatric unit Family Medicine Centre 416-530-6860 -- Monday-Thursday 9-8, Friday 9-5 * satellite at 27 Roncesvalles Ave, Suite 101 Elderly Community Health Services -- assessment and consultation for frail elderly persons * referrals to community supports * Community Osteoporosis Program with Education (COPE) Rapid Access Addiction Medicine (RAAM) Clinic -- brief support and referral for patients not currently connected to addiction recovery resources * Tuesday and Thursday 10 am-11:30 am * register at Family Medicine, Ground Floor, East Entrance Outpatient Mental Health Programs * child and adolescent program * substance abuse during pregnancy * Assertive Community Treatment Team (ACTT) -- community-based support and rehabilitation to adults with severe and persistent mental illness Fathers’ Mental Health Assessment and Treatment Service -- assessment and treatment for expecting and new fathers Mobile Crisis Intervention Team in response to 911 call",,,Mon-Sun 24 hours,English ; interpreter services for other languages,416-530-6000,,,,stjoestoronto.ca,Assertive Community Treatment ; Child and Adolescent Psychiatry ; Chronic Disease Self Management Programs ~ Osteoporosis ; Family and Community Medicine ; General Acute Care Hospitals ; Geriatric Assessment ; Parent Counselling ~ Fathers ; Perinatal Substance Use Disorder Treatment ; Psychiatric Inpatient Units ; Psychiatric Mobile Response Teams ; Rapid Access Addiction Medicine Clinics ; Substance Use Disorder Counselling ; Substance Use Disorder Referrals,Unknown,,Hospitals,Wheelchair accessible building including main entrance and barrier free washrooms * designated parking on street and in parking garage,Health Services,M6R 
980,St Michael's Homes,St Michael's Homes,St Michael's Homes,,"262 Gerrard St E Toronto, ON M5A 2G2",Toronto,M5A 2G2,Call Coordinated Access to Addiction Services (Information and referral) 1-855-505-5045 for application and to arrange intake interview,,Supportive residential treatment and transitional housing * rehabilitative programs * aftercare * community development * Catholic perspective Matt Talbot Houses -- transitional housing and long-term supportive housing programs St Michael's Houses -- short term residential and extended residential treatment programs,Ages: 18 year(s) and up Men 18 years and older in recovery from alcohol or drug addiction * varies by program,info@stmichaelshomes.org,Mon-Fri 9 am-5 pm,English,416-926-8267,"Rachael Whale, Executive Assistant; Phone: 416-926-8267 ext 115; Email: rwhale@stmichaelshomes.org",rwhale@stmichaelshomes.org,,stmichaelshomes.org,Residential Substance Use Disorder Treatment Facilities ~ Men ; Supportive Housing for People with Disabilities ~ Substance Use Disorders ; Transitional Housing for Substance Use Disorder,"None - St Michael's Houses: Treatment, Engagement and Aftercare Programs ; Fees (sliding scale) - Matt Talbot Houses: Transitional Housing Program",,Addictions,Wheelchair accessible entrance ; Street parking,Health Services,M5A 
981,St Michael's Hospital,St Michael's Hospital,St Michael's Hospital,,"30 Bond St Toronto, ON M5B 1W8",Toronto,M5B 1W8,Not applicable,,"Acute care hospital * critical care * trauma * heart and vascular disease * neurosurgery * diabetes comprehensive care * regional stroke centre Inner City Health Program -- inpatient and outpatient services * outreach * emphasis on health issues affecting disadvantaged and high risk populations * palliative care for homeless and marginally housed people HIV/AIDS program -- positive care program in several areas of the hospital * post exposure risk assessment, counselling and treatment recommendations * HIV psychiatry program * palliative care * Positive Pregnancy program Rapid Access Addiction Medicine (RAAM) Clinic -- quick access to an addiction medicine specialist for individuals with substance use problems * Monday, Wednesday and Friday 9 am-11 pm * register at reception, 17th floor, Cardinal Carter Wing South or call either 416-864-3082 or the Coordinated Access phone through Withdrawal Management Services (see separate listing)",Open to all,,Mon-Sun 24 hours,English ; Interpretive services,Switchboard 416-360-4000 ; Patient Inquiry 416-864-5454,,,,www.stmichaelshospital.com,AIDS/HIV Prevention Counselling ; Cardiovascular Medicine ; Condition Specific Treatment ~ AIDS/HIV ~ Pregnant Women ; Condition Specific Treatment ~ Diabetes ; Condition Specific Treatment ~ Stroke ; General Acute Care Hospitals ; General Medical Care ~ Homeless People ; Intensive Care ; Palliative Care ~ AIDS/HIV ; Palliative Care ~ Homeless People ; Psychiatric Disorder Counselling ~ AIDS/HIV ; Rapid Access Addiction Medicine Clinics ; Street Outreach Programs ~ Health Issues ; Substance Use Disorder Referrals ; Surgery ~ Neurological Impairments ; Trauma Care,Unknown,,Hospitals,Bond St entrance not wheelchair accessible * Queen and Victoria St entrances wheelchair accessible * barrier free washrooms * braille elevator Queen and Victoria St * entrances close to parking,Health Services,M5B 
982,St Jude Community Homes,Gerrard Street Site,Independent Living Program,,"1845 Gerrard St E Toronto, ON M4L 2B6",Toronto,M4L 2B6,"Supportive housing -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to complete application * tour, application form * joint interview by staff and residents",,"Supportive housing * 10 bachelor and 10 one bedroom units * social and recreation activities * customized support as needed, including on site support * cooperative, community environment","Single adults 18-65 years (at intake) with mental illness who are in need of affordable housing, require support services, have proven independent living skills, and express a desire to be part of a community focused model of housing",pantwi@sjch.ca,Mon-Fri 9 am-5 pm,English,416-461-9473,"Paul Antwi, Program Manager; Phone: 416-703-7222 ext 322",,,www.sjch.ca,Supportive Housing for People with Disabilities ~ Mental Illness/Emotional Disabilities,ODSP maximum shelter allowance ; Rent geared to income,,Mental Health,Not wheelchair accessible ; Street parking,Health Services,M4L 
983,Sunnybrook Health Sciences Centre,Sunnybrook Health Sciences Centre,Sunnybrook Health Sciences Centre,,"2075 Bayview Ave Toronto, ON M4N 3M5",Toronto,M4N 3M5,Not applicable,,"Acute care hospital * brain sciences (stroke, dementias, mood and anxiety disorders) * cancer care * heart centre * trauma and burn centre * veterans care (resident care, dementia care, palliative care) * women and babies (obstetrics, gynecology, neonatal care, accessible care for women with disabilities) Dental Clinic -- full dental care for persons who are medically compromised or require specialized dental care, surgery or consultation including HIV/AIDS and hepatitis * referral required Community Psychiatric Services for the Elderly -- in home assessment, counselling, referrals for seniors with mental health concerns * referral required Pregnancy and Infant Loss (PAIL) Network -- peer support services for families * call 1-888-303-7245 or fill out the online intake form",Open to all,questions@sunnybrook.ca,Information Desk Mon-Sun 7:30 am-8:30 pm,English ; Interpretive services available with advance notice,Switchboard 416-480-6100 ; Patient inquiry 416-480-4246,,,,www.sunnybrook.ca,Adult Psychiatry ; Bereavement Support Groups ~ Parents ; Burn Centres ; Cardiovascular Medicine ; Condition Specific Rehabilitation Services ~ Stroke ; Condition Specific Treatment ~ Cancer ; Condition Specific Treatment ~ Dementia ; Condition Specific Treatment ~ Dementia ~ Veterans ; General Acute Care Hospitals ; General Dentistry ~ People with Chronic Illnesses ; Geriatric Counselling ; Geriatric Psychiatry ; Home Based Mental Health Services ~ Older Adults ; Neonatal Care ; Nursing Facilities ~ Veterans ; Obstetrics/Gynecology ; Palliative Care ~ Veterans ; Peer Support Services ~ Death and Dying Issues ; Trauma Care,Unknown,,Hospitals,Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Health Services,M4N 
985,Blake Boultbee Youth Outreach Service,Blake Boultbee Youth Outreach Service,Blake Boultbee Youth Outreach Service,,"41 Blake St Toronto, ON M4J 3E2",Toronto,M4J 3E2,"Call, email or walk in * self referral or referrals from social service agencies and schools",,"Long term, intensive counselling, therapy and life skills training * individual and family psychotherapy and advocacy * outreach","Children and youth 12-25 years and their families, particularly those at high risk with low income",rod@bbyos.org,Mon-Fri 8 am-6 pm * some evening appointments,English,416-465-1410,,,,bbyos.org/about,Adolescent/Youth Counselling ~ At Risk Youth ; Family Counselling ; Family Counselling Agencies ; General Counselling Services ~ Young Adults ; Individual Advocacy ~ Adolescents ; Individual Advocacy ~ Young Adults ; Outreach Programs ~ At Risk Youth,None,,Counselling (General),Not Accessible ; Street parking close to entrance,Health Services,M4J 
986,CRC,40 Oaks,CRC,,"40 Oak St Toronto, ON M5A 2C6",Toronto,M5A 2C6,"Call, email, drop in, or visit website for information",,"Community centre, including Regent Park Community Food Centre (in partnership with Community Food Centres Canada) * drop-in and community meal programs * food action programs such as food skills community kitchen, community garden * housing support and affordable housing advocacy * community advocacy training and support * community development and social enterprise partnerships Drop-in and community meal programs -- breakfast, lunch and supper (see hours of service for schedule) * shower and laundry facilities * information and referral * food skills workshops * life skills * recreation and social opportunities * telephone for local calls Housing programs -- housing supports include assistance in finding and maintaining affordable housing * tenant and landlord relationship assistance * information and referral * 40 Oaks Housing affordable housing residence * Housing Connections (see separate entry) Community Partner, assistance with housing search and application process -- appointment requiredMember agency of Toronto Drop-in Network (TDIN)","Open to all, with focus on individuals who are socially isolated, homeless or under housed, or who have low income",crc@tcrc.ca,"Program hours vary * drop-in -- Mon-Fri 9 am-2:30 pm * breakfast -- Mon, Fri 9 am-10 am * lunch -- Mon-Tue, Thu-Fri 12 noon-1 pm, and Sun 11:30 am-1 pm (in partnership with Muslim Welfare Centre) * supper -- Sat 5 pm-7 pm (in partnership with Church in Regent Park/Church in the City) * laundry facilities -- Mon-Fri 9 am-12 noon, by appointment * showers -- Mon-Fri 9 am-12 noon on first come, first served basis",English,416-363-4234,,,,www.tcrc.ca,Certificates/Forms Assistance ~ Housing Issues ; Community Gardens ; Community Meals ; Comprehensive Information and Referral ; Food Preparation Facilities ; General Recreational Activities/Sports ~ Homeless People ; Homeless Drop In Centres ; Housing Search Assistance ~ Homeless People ; Landlord/Tenant Dispute Resolution ; Laundry Facilities ; Life Skills Education ~ Homeless People ; Low Income/Subsidized Rental Housing ; Neighbourhood Improvement Groups ; Neighbourhood Multipurpose Centres ~ Faith Based Organizational Perspective ; Nutrition Education ; Public Showers/Baths ; Self Advocacy Support ; Telephone Facilities ; Tenant Readiness Education Programs,None,United Way - United Way Greater Toronto,Counselling (General),Street parking ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Health Services,M5A 
987,Michael Garron Hospital,Michael Garron Hospital,Michael Garron Hospital,,"825 Coxwell Ave Toronto, ON M4C 3E7",Toronto,M4C 3E7,Call or visit website for information,,"Acute care hospital * complex continuing care * inpatient rehabilitation * obstetrics, neonatal care, pediatrics Breastfeeding Clinic -- Monday-Saturday 10 am- 2:45 pm * counselling and support by lactation consultant and/or public health nurse * walk in, no referral East Toronto Postpartum Adjustment Program 416-469-7608 -- education and group support * free child minding provided * in partnership with several other agencies Mental Health Programs, Intake 416-469-6310 -- brief counselling * child and adolescent programs * crisis counselling * day treatment * prevocational rehabilitation * psychoeducation for adults with depression * psychogeriatric program * Mobile Crisis Intervention Team -- crisis assessment and intervention by a mental health nurse and specially trained police officer in response to a 911 call Part of Toronto East Health Network",Open to all,patient.relations@tehn.ca,Mon-Sun 24 hours,English ; Language Line service for other languages,Switchboard 416-461-8272 ; General inquiries 416-469-6487,,,,www.tehn.ca,Breastfeeding Support Programs ; Child and Adolescent Psychiatry ; Family Psychoeducation ~ Mood Disorders ; General Acute Care Hospitals ; General Psychiatry ; Geriatric Psychiatry ; Mental Health Related Support Groups ~ Mothers ~ New Parents ; Neonatal Care ; Obstetrics/Gynecology ; Pediatrics ; Perinatal/Postpartum Depression Counselling ; Physical Medicine and Rehabilitation ; Prevocational Training ~ Mental Illness/Emotional Disabilities ; Psychiatric Day Treatment ; Psychiatric Disorder Counselling ; Psychiatric Mobile Response Teams,Unknown,,Hospitals,Wheelchair accessible building including main entrance and barrier free washrooms * limited designated and street parking close to entrance,Health Services,M4C 
988,"University Health Network, Toronto General Hospital","University Health Network, Toronto General Hospital","University Health Network, Toronto General Hospital",,"200 Elizabeth St Toronto, ON M5G 2C4",Toronto,M5G 2C4,Physician referral required for most services,,"Acute care hospital * cardiac care * transplantation * surgery and critical care Outpatient clinics -- diabetes * eating disorders * geriatric psychiatry * osteoporosis Women's mental health clinic -- assessment and treatment of mental illness arising from issues related to the reproductive cycle, and issues related to sexual abuse and violence",Open to all,,Mon-Sun 24 hours,English ; Interpretive Services,General Inquiries 416-340-3111 ; Patient Inquiry 416-340-3131,,,,www.uhn.ca/corporate/AboutUHN/OurHospitals/TGH,Cardiovascular Medicine ; Chronic Disease Self Management Programs ~ Diabetes ; Condition Specific Treatment ~ Osteoporosis ; Eating Disorders Treatment ; General Acute Care Hospitals ; Geriatric Psychiatry ; Intensive Care ; Organ Transplants ; Psychiatric Disorder Counselling ~ Women ~ Reproductive Issues ; Psychiatric Disorder Counselling ~ Women ~ Sexual Assault Issues ; Surgery,Unknown,,Hospitals,Wheelchair accessible building including main entrance and barrier free washrooms * braille elevator,Health Services,M5G 
989,Toronto People With AIDS Foundation,Toronto People With AIDS Foundation,Toronto People With AIDS Foundation,,"200 Gerrard St E, 2nd Fl Toronto, ON M5A 2E6",Toronto,M5A 2E6,"Essentials Market -- initial intake assessment discussion -- income and address information, and identification for household members, may be requested (call for details) * see hours of service for intake schedule",,"Treatment, practical support services, assistance navigating and accessing complex system of care, education and outreach Treatment and therapeutic programs -- one to one consultation on sexual health, medication and HIV information * medication access assistance * harm reduction information and supplies including needle exchange, crack kits, condoms and lube * complementary therapies including vitamin supplements, yoga, reiki, massage, acupuncture Support programs -- practical assistance and income supports including financial assistance, benefits assistance, internal and external referrals, advocacy, immigration assistance, holiday programs such as children's gift cards, hair-cutting services * assistance caring for pets, referral to veterinarian and short term foster program in partnership with Toronto Human Society * translation and interpretation services available, call for details Food programs -- Essentials Market food bank, including pet food (member of Daily Bread Food Bank) * Food for Life meal delivery * peer and professional food and nutrition workshops * new home start-up kits, holiday bags Engagement programs -- includes HIV/AIDS speakers bureau, safer sex educational materials, positive prevention outreach, peer leaders program and student peer education, women's programming, men's peer health navigator, Circle of Care, spiritual wellness, expressive arts therapy, holiday dinner and social programming, theatre access * volunteer training and opportunities","People living with HIV/AIDS, including children, women and transwomen, men and transmen",info@pwatoronto.org,"Mon-Tue 10 am-6 pm, Wed-Thu 10 am-8 pm, Fri 9 am-5 pm * initial intake -- Mon-Fri 11 am or 1 pm; also Wed-Thu 6 pm * Essentials Market -- Wed-Thu 2 pm-7 pm","English ; French - Tue 2 pm-5 pm ; Spanish - Latinos Positivos, Mon-Fri 12 noon-5 pm, 3rd Fl",416-506-1400,,,,www.pwatoronto.org,AIDS/HIV/STD Prevention Supplies ; Condition Specific Treatment ~ AIDS/HIV ; Disability Associations ~ AIDS/HIV ; Food Banks ; General Benefits Assistance ~ AIDS/HIV ; Gift Card Distribution Programs ~ Children ~ AIDS/HIV ; Hair and Nail Care ; Health/Disability Related Counselling ~ AIDS/HIV ; Home Delivered Meals ; Interpretation/Translation ~ AIDS/HIV ; Medication Information/Management ~ AIDS/HIV ; Needle Exchange/Distribution Programs ~ AIDS/HIV ; Nutrition Education ~ AIDS/HIV ; Peer Role Model Programs ~ AIDS/HIV ; Personal Health Care Advocate Services ~ AIDS/HIV ; Pet Boarding/Sitting Services ~ AIDS/HIV ; Pet Food ~ AIDS/HIV ; Prescription Medication Services ~ AIDS/HIV ; Safer Sex Education ; Specialized Information and Referral ~ AIDS/HIV ; Subject Specific Public Awareness/Education ~ AIDS/HIV Issues ; Undesignated Temporary Financial Assistance ~ AIDS/HIV ; Veterinary Services ~ AIDS/HIV ; Volunteer Opportunities,None,Regional / Municipal - Community Service Partnerships (CSP),Health (HIV/AIDS),"Wheelchair accessible main entrance, assistance needed with door ; Easy access to elevator ; Elevator with braille and lowered buttons ; Wheelchair accessible washroom, assistance needed with door ; Call for details",Health Services,M5A 
